country_code,iyear,region,sfi,effect,legit,seceff,secleg,poleff,polleg,ecoeff,ecoleg,soceff,socleg,elec_leftsoc,elec_comm,elec_conserv,elec_right,turnout,region_txt,kills,killster,nattacks,armed_assault_type,bomb_exp_type,cit_tar,gov_tar,mil_tar,happiness_score,gdp_per_capita,family,life,freedom,generosity,trust,dystopia,num_arrivals
ARG,2009,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,South America,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,4308000.0
ARG,2010,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,South America,0.0,0.0,5.0,0.0,5.0,,,,,,,,,,,,5325000.0
ARG,2011,4.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,South America,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,5705000.0
ARG,2012,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,South America,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,5587000.0
ARG,2013,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,South America,0.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,5246000.0
ARG,2014,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,South America,0.0,0.0,1.0,,,0.0,1.0,0.0,,,,,,,,,5931000.0
ARG,2015,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,South America,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003,5736000.0
ARG,2016,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,South America,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,6.65,1.15137,1.0661200000000002,0.69711,0.42283999999999994,0.07296,0.10989000000000002,3.12985,5559000.0
ARG,2017,4.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,South America,0.0,0.0,3.0,,,1.0,0.0,0.0,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.49451920390129106,0.109457060694695,0.05973988771438599,2.61400532722473,
ARG,2018,4.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,South America,0.0,0.0,4.0,0.0,4.0,1.0,1.0,0.0,,,,,,,,,
ARM,1995,5.0,8.0,7.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,,,,,,Central Asia,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,12000.0
ARM,1996,5.0,7.0,7.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,,,,,,Central Asia,2.0,0.0,1.0,,,,,,,,,,,,,,13000.0
ARM,1997,5.0,8.0,7.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,23000.0
ARM,1998,5.0,8.0,7.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,,,,,,Central Asia,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,,,,,,,,,32000.0
ARM,1999,5.0,8.0,7.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,,,,,,Central Asia,8.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,,,,,,,,,41000.0
ARM,2000,5.0,8.0,7.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,,,,,,Central Asia,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,45000.0
ARM,2001,5.0,9.0,7.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,,,,,,Central Asia,1.0,0.0,2.0,,,0.0,2.0,0.0,,,,,,,,,123000.0
ARM,2002,5.0,7.0,6.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,162000.0
ARM,2003,5.0,7.0,5.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,206000.0
ARM,2004,5.0,7.0,5.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,263000.0
ARM,2005,5.0,7.0,5.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,319000.0
ARM,2006,5.0,7.0,4.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,382000.0
ARM,2007,5.0,6.0,4.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,,,,,,Central Asia,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,511000.0
ARM,2008,5.0,6.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,558000.0
ARM,2009,5.0,7.0,3.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,,,,,,Central Asia,1.0,0.0,1.0,,,,,,,,,,,,,,575000.0
ARM,2010,5.0,7.0,3.0,4.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,684000.0
ARM,2011,5.0,7.0,3.0,4.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,758000.0
ARM,2012,5.0,7.0,3.0,4.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,963000.0
