country_code;iyear;region;sfi;effect;legit;seceff;secleg;poleff;polleg;ecoeff;ecoleg;soceff;socleg
BOS;2016;2;4;2;2;0;0;1;2;1;0;0;0
BOS;2017;2;4;2;2;0;0;1;2;1;0;0;0
BOS;2018;2;4;2;2;0;0;1;2;1;0;0;0
BOT;1995;1;7;4;3;0;0;1;0;1;0;2;3
BOT;1996;1;7;4;3;0;0;1;0;1;0;2;3
BOT;1997;1;7;4;3;0;0;1;0;1;0;2;3
BOT;1998;1;6;3;3;0;0;0;0;1;0;2;3
BOT;1999;1;6;3;3;0;0;0;0;1;0;2;3
BOT;2000;1;6;3;3;0;0;0;0;1;0;2;3
BOT;2001;1;6;3;3;0;0;0;0;1;0;2;3
BOT;2002;1;6;3;3;0;0;0;0;1;0;2;3
BOT;2003;1;6;3;3;0;0;0;0;1;0;2;3
BOT;2004;1;6;3;3;0;0;0;0;1;0;2;3
