country,country_code,happiness_score,year,nattacks,region_txt,fsi,country_code_2,latitude,longitude
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Somaliland region,,5.057,2015,0.0,,,,,
Morocco,MAR,5.013,2015,1.0,Middle East & North Africa,74.6,MA,31.791702,-7.09262
Macedonia,MKD,5.007,2015,4.0,Eastern Europe,64.5,,,
Mozambique,MOZ,4.971,2015,8.0,Sub-Saharan Africa,86.9,MZ,-18.665695,35.529562
Albania,ALB,4.959,2015,4.0,Eastern Europe,61.9,AL,41.153332,20.168331
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
Bosnia and Herzegovina,,4.949,2015,0.0,,77.4,BA,43.915886,17.679076000000002
